location,year,month,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_cases,new_cases,total_deaths,new_deaths,vaccine_types_used
Chile,2021,11,957692824,501724028.0,473152397.0,51881368.0,67703.0,1140689.0,589.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2021,12,1020089651,530108359.0,507764227.0,55395307.0,43743.0,1201811.0,769.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2022,1,1043995439,541955396.0,519834528.0,59299424.0,359490.0,1221228.0,606.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2022,2,958887496,495967301.0,478998413.0,74224615.0,895035.0,1142576.0,2632.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Chile,2022,3,760430529,392421890.0,380645577.0,102837567.0,409917.0,1489494.0,2780.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Croatia,2021,1,251080,374043.0,11907.0,6921173.0,21589.0,141227.0,1107.0,"Pfizer/BioNTech, Moderna, Oxford/AstraZeneca"
Croatia,2021,2,672171,828334.0,462293.0,6657593.0,10547.0,148719.0,499.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,3,1598297,2441033.0,658131.0,7881286.0,28659.0,177184.0,421.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,4,3787730,15058799.0,3781140.0,9063636.0,60551.0,194602.0,1134.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,5,6234568,29580570.0,9531727.0,10797806.0,23998.0,237698.0,945.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,6,9241201,33776913.0,18686879.0,10757171.0,3691.0,244260.0,180.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,7,14862692,40991389.0,33905141.0,11206532.0,3743.0,255271.0,53.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,8,13031897,47120141.0,43396890.0,11404200.0,10383.0,257011.0,75.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,9,13638182,51478782.0,9766079.0,11648531.0,30792.0,254288.0,306.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,10,17870543,43091934.0,35181610.0,13340229.0,65558.0,275792.0,580.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,11,15829951,53757605.0,44836516.0,16261639.0,137857.0,300130.0,1679.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2021,12,22670867,64818961.0,11666626.0,20600943.0,107040.0,365962.0,1639.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2022,1,19950537,68387212.0,58649814.0,25433780.0,221922.0,407851.0,1289.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Croatia,2022,2,20618853,64461959.0,53264795.0,28430744.0,117627.0,406927.0,1242.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
